Run Index,Point,Objective Value
2,"[0.28870850619444766, 3.5120210006198658, 1.6243486952188806, 1.6225322525622454, 1.9176261539105774, 2.0815898676625, 1.3491137271071665, 2.3446761394336946, 1.59155560928829, -0.4336327740316749, -0.6298844277711506, -1.1427649171810175, 2.2718655764388753, 0.6459968973723584, -0.6336090152051176, 1.0808916487765292, 0.1798625723449626, -1.554752489825286, 0.25090133177314344, 0.11133307213989, -1.992681367753802, -0.9022748722894286, 2.798718154038521, -0.6659446381709251, 1.6038332970991744, 3.0717568830169406, 0.01733982866595657, 1.946219973115758, 2.929932926711472, 0.17825381990733846, 3.031282627433905, -2.1733045253336627, -0.10341122202964537, -0.6999234737918325, -2.1755452434951286, 1.177244566923801, 2.7522116426159124, 0.5670338419507317, 1.3938618280695185, -0.6398806135932048, 0.41386056937009386, -2.271555977869626, -1.9876075442066479, -0.23274717026961134, 1.4557960303404966, 2.3351759861702215, -0.09254454186745446, -0.7871977508247124, -1.1266008999971424, -3.3246749972240917, 2.2522669409788456, -0.5967307389185147, -1.5290358633124908, 0.8985588247293621, 0.9978251395145377, 1.3611732537382255, 3.046890662957353, 1.9287844956266067, 1.4503528840473872, -3.4177195862666427, -1.459646427794007, 1.4947473019168045, -2.556142331178382, 1.7723733103211308]",1.346447445684087
2,"[-0.08117591328326978, 2.482897260755371, 0.282547276507609, 1.4383717078889393, -0.3843823337308994, -0.09337481926785385, -0.4503985114035983, 2.030061416947401, 0.5451558392869271, -0.3161139959305957, -1.5266238337909166, -1.5587612679424148, 3.023094472462803, 3.30266733087661, 0.5570133658050371, 2.3745913832587258, 1.8710299020342056, 0.054495236484670695, -0.9768568631386503, 0.1845284464428073, -0.8052948394224132, -1.3584294124094605, 1.3851834407594472, 1.5924310340945238, 0.47168433523345554, 1.2252982524750318, -0.3945126573672265, 3.739343718159836, 1.6113834777242264, -2.19268956005091, 1.931374851212782, -0.956688178124084, 0.022570903799296382, -3.8166754651134016, -0.5102330298599558, 1.3929304261622386, 3.418070839007581, 0.8482244582707836, 0.9031567564859033, -0.25165634610495735, 2.9268731293540484, -1.808770070641979, -2.387396495824821, -1.5443784848729978, -0.5460125504828759, 1.0510796186715954, 0.6957304814120776, 2.494576746637426, -2.169147984522057, -0.7700757733349064, 2.5058282518564265, 2.062743375954185, 0.5267485502149405, 1.8501914576295921, 1.166670344664364, 2.8963350673721777, 3.2059288296291397, 2.163723309633375, 1.2601609535499692, -1.350588810478096, -1.5735028101392512, 2.5063674821890167, -2.000236486293503, 1.504428865763768]",1.3310344827586207
2,"[0.20728782272373714, 1.922961090287179, 0.2540890598900074, 0.8196513064028672, -0.9360527488485326, 3.9012033040959215, 0.3306660223207256, 2.2073905533108076, -1.2322906959223046, -0.4754007579950914, 1.0036235473831168, -3.327079337908804, 0.9420600045265901, 0.4558351840751307, -2.7899251400592835, -0.5751947644187154, -0.3441767619617624, 0.7752261193283174, -2.579527945954756, -0.15207237932383955, 1.5942138393664036, 0.832663668531954, 2.701713630823605, -0.8710482069893285, -2.5191049833150934, 1.7579796535193999, 1.8126824078081574, 3.787582354935566, 1.5956649859106635, -2.1166185486344644, 3.5940522449794847, -2.4866073407099587, -1.4671194550403264, 0.2836290923940261, -2.9996288589933027, 2.0589417408989847, 2.99646205580967, -1.0557722575489503, 1.7085724796216482, 0.0871982194313621, 2.8042793936701598, -2.8123876446986804, -1.1598752211242265, -2.941425748946375, 3.568874569719368, 2.5885332374946226, 2.488359895654282, 0.18964953516509153, -1.1377832233675167, -3.285584686820769, 4.174204506028386, 1.9114400067756736, 0.5732329040270723, 0.17606218213399222, 2.3534159710946367, 2.469376422130599, 1.4778608294658353, 1.573937180673163, -2.3972553876172134, -1.328833634877383, -1.7530792359287686, -1.7215142536264714, -2.7585061528657753, 1.8652041575773897]",1.286189683860233
2,"[-1.1804755313952267, 3.6932943030355077, 1.3911430533332192, -0.7001120651783179, -0.3282543972060984, 2.362972786535685, 1.3189791123721963, 1.3593340163386483, -1.4351347273609287, -0.927872468151657, -1.1599767801161571, -1.9848168580406944, 1.0004776232294779, 2.9430417599150585, -0.7914438319078483, 2.113552832049464, 0.13614038989564836, -1.6112332937554732, 0.3463140988637587, -0.33003002190844577, 1.0484139383826474, -0.1327946108396929, 3.963036288782863, -0.6731849531045061, 2.158485715271008, 1.8410798398731527, -0.3837444925952103, 1.2344154051904277, 2.1495991418794693, -2.155963480629148, 1.054959873170053, 0.830676234300326, 0.45190744830201135, -1.3245425629718166, -1.520667839842424, 1.5588101991457097, 1.7695817197393162, 1.05630328507434, 0.2731786946310757, -0.19091853021466465, 2.508947746806193, -2.8460094786891084, -2.2107278293659203, -1.0663968487839566, 2.666384580670682, -0.525235072694719, -0.29774171722199605, 1.7700998814092752, 0.05768884426360543, -2.4058669512627597, 3.219386333451416, -1.1196332992099565, -1.5419093391242211, 0.1816614584491713, 2.204383262509234, 1.022668010550077, 2.2170970230465596, 2.2843463629361738, 1.9848618872064034, -1.4294770913602544, -1.0672442372227895, 1.2400018259044936, -1.1702799545928455, 0.7074096540958827]",1.276480173818577
2,"[0.7885531795851608, 1.860542411092393, -2.1689326907562743, 0.9644858628990448, 1.3038731648091861, 3.4759009509257073, 1.2295461198270086, 2.3462760913451994, -2.555155825479252, -2.0283267301493186, -0.2644605225247888, -2.556726515393622, 1.2442156959991113, 1.7846878786363767, -1.6107975163094772, -0.029089750256113323, 0.944705428926063, 1.5838227982964797, -0.6057605126633822, -1.7683911722491095, -2.495604221021046, -0.07818124168210572, 0.9868306717232138, -1.860232017069378, 2.01115414255455, -1.593097971390909, -0.05205289372598304, 2.284304929331203, 2.787187136403868, -0.34516758130746983, 3.4483760455292405, -2.06985584781027, -1.5765095552947888, -1.8042791976090968, -2.659681748233274, 1.7201691794463376, 3.477570812763009, 0.9831436247533899, 2.490508557565964, 0.5421166813512142, 3.9038517977355447, -0.7277310020597216, -2.56797700802088, -1.709933687154118, 0.37159939206417536, 1.9011223336215897, 3.1984749490432662, 1.0449937329308874, -1.538691353744932, -1.8550760681320557, 2.5186388601817615, 1.4242084323845265, 1.11520874272645, 1.0012639465678974, 2.053526683790539, 0.3420751105301547, 0.6378609079729236, 2.18614751270468, 1.5248246866348536, -2.5140712627697464, -1.765291501095941, 3.3287190991752977, -2.125766222343228, 2.357175565129671]",1.267590027700831
2,"[1.2912608266049652, 0.7867600086006359, -0.45352670891365504, 0.25431232744504007, -0.12743176241188725, 2.184772094669331, 0.6247846032694508, 1.210338086784561, -0.32519456242146383, 0.7016633642647292, 0.378851188940901, -2.0110249639811735, 0.7911746497718598, 0.8390885599048294, -0.9137513441979586, 1.4614126690414184, -1.174221083541389, -1.3184472098605042, -0.08880250438539739, -0.8480699695653011, -2.2122153803230926, 0.44752470163748165, 3.5930062643616365, -1.2693223543072425, -0.2822235684378454, 1.8076260209914996, -0.41715210325008945, 1.8190048006448178, 3.340994674300562, -2.8914565610134515, 3.1907122073266163, -1.8793597253349346, -1.8552823865291268, -3.7938390984816874, -1.5952304307235567, 2.5776372023573946, 3.1240696759592455, 0.9408072581349545, 1.6761247281530447, 1.6679667666188545, 2.6830609539909465, -1.8244966064697234, -1.944223420518762, -3.2988757849051007, -0.9621973008233574, 1.5027318410425985, -0.9513289192386719, 1.6686761861755626, -1.9447076640177894, -2.310001417278966, 0.858159984257715, 0.11338273055692336, 0.8024746589321182, 0.00041241250412593633, 1.9816290727424437, 3.196955387952688, 3.214204331221442, 2.050296872827551, -0.1116321466793253, 0.41574753588562174, -0.9910603584866866, 2.1297782660149833, -1.9897806684925268, 2.1466426171708237]",1.2648970747562296
2,"[2.0331411765582788, -0.746422400419682, 1.2123444564281447, 1.3530529898387194, -0.4667164160665584, 3.5105985334549867, 2.4406345739959647, 2.59342135273454, 1.5257058744880214, 1.542542133703448, 1.3628638031942355, -1.6168951941225547, 1.7963633395879617, 0.6854752162765365, 0.7804200287359153, -2.4802497863259005, -0.49639511882897214, 1.0974852228262584, -1.5981357040558424, 1.246863361530663, -1.1769827512747832, -0.6351330834015483, 0.7316031608065217, 0.2672127548699539, -0.8496624771885088, 1.6399900503022318, -0.012741116023961607, 2.8666174110896585, 3.028188074615188, -2.2819471725836276, 0.47423242967653545, -2.3748383096494985, -0.943414819561774, -3.41917584110436, 1.1916907714395821, 2.066557088523079, 0.12311134463642137, 0.6807386143651791, 0.32536908667009556, -0.4368149548320513, 2.178736125209488, -1.4775617718356886, -2.24125951648065, -3.207451735422082, 0.5224701381550776, 2.315128670659821, -1.6020641772247899, -0.5982538340914976, -2.568022001056601, -0.579160939862391, 0.9038030839348847, -0.741016910045174, -0.28204677970956116, 1.0789849228644348, 2.337941885355116, 1.4200866089687483, 1.0591592549015258, 2.2212172014131943, 2.1775142209908234, -2.462808915801925, -0.498109341464817, 1.596582506303461, -1.5882725251798626, 3.2976068723455807]",1.23714131023281
2,"[0.9727882407015119, 1.5292479074618228, 0.7855801713554075, 2.785175813438946, -0.47439540517428724, 3.6049349630715435, 1.423240110877525, 1.7932437646147596, -1.0933223102135494, -0.621784118509451, 0.660043512580786, -0.7856098327603547, 2.825825109309605, 2.7783250826061567, 0.6889926081541129, -0.07342009584349762, -1.1083926533752255, 0.3527011687777922, 0.6033063835264942, -1.0534551759046167, -1.0790237501285516, 2.362313984298753, 3.009434889787144, -0.5400353231028652, 1.4327228165883419, 1.9540500239840892, -1.6987688144945439, 3.5695827179384074, 3.1056948571477774, -1.32428924198783, 3.0306486894637787, -2.2186883301995093, -1.116685349665472, -3.5682538900277856, -0.518857707429203, 2.1572616526315906, 2.84180069748384, 1.5034917761518278, 0.8764560216682532, -0.6256803641168948, 2.7500802286822057, 0.21026357139603769, -2.504808417624362, -0.9249222855759431, 1.0079274485336636, 2.4260051561012648, -0.2339330719625661, 0.35325111083291905, -0.9205518683320668, -2.1466525580563016, 2.0707328050516596, -0.2663808207770445, 0.9964953439460418, 0.533124866873214, 1.3195784292718742, 3.1449018838604004, 1.7235724463693152, 2.0669398009718947, 3.4106975748158757, -2.5386320513311054, -1.8634123796463236, 1.750985501345498, -2.2069761523719187, -0.17028812418126105]",1.210285132382892
2,"[0.002271340698343227, 1.2688673854735668, -0.13061275600587205, -1.2907725110650066, 0.5373463517958481, 3.6935697936619354, 0.48057661421117426, -0.1549011175571131, -1.89901948547187, -1.3220310349187807, 0.24503768213116195, 0.03788356244787783, 1.1165023569314427, 3.7997411687983114, 1.5259464122418318, 0.39724829759679336, -0.22144068962116753, 0.007016632650926141, 0.9376206857765106, 1.137598809770288, -0.7230638787015244, -0.8341654979440175, 3.68440387913484, 1.1617937755403691, -0.15902549902031904, 1.350516899479178, 1.2227300633562899, 1.1723737525101448, 3.326031551892856, -1.3773630493854023, 2.4607023439110076, -1.756318262362467, 1.6389170404640987, -3.864148947253425, -2.600850684138953, 1.3383852799216558, 2.789483361004798, 2.027104612557652, 2.308412775438705, 0.016199159666350382, 1.8650834269902967, -1.069764997137213, -0.6798910483048126, -1.9954752187614844, 2.9781593456394413, 1.9142896697623561, -0.13744460086279486, 0.27624785706003635, -1.8111661941784298, -2.817913719790759, 0.5706482320533397, 2.1661611336763364, 1.5016929312073777, -0.08250670315936748, 0.8215138278349259, 0.3267574189499527, 0.3172000112123101, 2.2740682858361296, -1.636204903606674, 1.2169620609096168, -1.3864495534626435, 2.152666730841966, -2.0243355008305004, 1.5005201238804549]",1.2041912950026867
2,"[1.563687944703417, 2.6515942906886227, -0.696682014876485, 1.2681662334181154, 0.42859045556153763, 1.7036992197010052, -0.640672063774965, 2.5286081148950146, -1.6857551440621226, -2.584004877384289, -1.6395479123650898, -2.8347660104655503, 2.3651938361064166, 1.271367201092942, -1.7397423244490766, 0.7397878165404557, -1.5006753012531862, 0.6764805862634764, 0.025468458693372775, -1.3592389897545154, -0.1945732274430434, -1.6060898899270193, 2.8711488202594335, 0.33935526677878824, 1.0926344183485155, -0.7931400695444017, 1.3486607232512529, 3.3695569044910365, 3.283156088768537, -2.623870305613054, 1.8649719613255131, -2.4986368729075483, -0.7565312754181208, -0.7191102341721503, 1.4847668828027665, 1.8894794329751703, 1.5683884126243168, 2.858450502130623, 2.5662398366333514, 1.302010677067206, 3.4348191818125082, -4.058865945091596, -0.01602412229981276, -3.2877762616996287, 2.626399940780964, 1.7494650233317826, 0.7902261603882481, 2.8406537404857604, -2.352317064807382, -3.157244332942625, 2.415642891204816, 0.4138925137783537, -1.0742420267636485, -1.8516187868208784, 0.5113067125885316, 2.91221120668405, 0.8203493090889767, 2.280639145699112, 2.1886956047021844, -0.38309391940737614, -1.7421936203823614, -0.16261593494608706, -1.2708862604521727, 3.1110720583554707]",1.1428571428571428
