Run Index,Point,Objective Value
4,"[1.9608868662592263, 0.1308158064952697, 2.366226871686603, 3.3379157188999997, 0.5315992276393757, -0.6532738818470915, -0.5640754473484816, -1.791337302373302, 0.1397962242072065, 3.090090971473479, 0.9300816368834597, -1.7002433162674693, -1.5329662763465932, -2.982364261408488, -2.3532984775678996, 2.3988347217743518, -0.46723775748878316, 0.7697414674036074, -1.9259256068951038, -3.185507634343978, 2.335463873951428, 1.8080042900482265, 2.55641921622458, -0.6720955704025746, 0.7496974470566611, 3.479337695801287, 0.061588933090715337, 2.33318056349803, -1.1042365535650485, 0.33908749628510826, 0.6935568510275951, -1.798935310790313, -0.9071381379258107, -2.522572052239876, 1.8206596458995277, 1.9592494983355626, 0.31127331033704575, 0.9447763266063125, 0.180353600527008, 1.7466589372128931, 2.4553980816555967, 0.41960503878504696, -1.133784349873603, 0.25396068999824184, -2.7067964724650855, -0.015827880926830296, 3.1832338804118274, -1.2326216355337019, 2.5464873235989014, -3.1989011518896424, -1.5486042739782722, -0.24858964495863112, -3.2544238737529922, -2.5165632577028676, -1.847557385414878, -1.1775311673631677, 2.0210696482862174, 2.075671388031724, 2.9194694955889133, -0.6044661854842843, 3.8076435830778883, 2.9337754679747756, -1.685565384459935, 2.331857558415779]",1.0588235294117647
4,"[1.6563169155582278, -2.5039769028187373, -2.054740104242443, 0.6949464473829596, 1.6256558304504933, -0.011505907446866859, 2.083702703760964, -2.9697508055522523, -0.0044199331092752946, 3.8367160776577123, 1.7993631679444855, -1.3567439206177854, -2.280416007409589, -2.386775544154625, -2.891575187277108, 1.8575500453379852, -2.84969889433797, 2.8555042431621254, -1.2564763902321472, -1.9324428480483482, -1.1702830080674733, 2.465502108422649, 2.6723466927663, -0.4120780246487743, 2.13487363139558, 2.749966501549736, -0.9057815033167987, 2.63911116173261, -1.4070251321088663, -0.22412834961970307, 0.37497724880392314, 0.8579003914139727, -1.9057555279380405, -2.4831982674626047, -1.6851882846334916, 0.588007322592907, -1.7302331949425418, 2.039129556225905, 2.2644506221770424, 2.0737469120016447, 2.2242008265586035, 1.1704126699644521, -2.3123552037260917, 0.044758771417089616, -1.1339389862941702, -0.11670288072494317, 3.4679655341113667, -1.7741756885519349, -0.08515349149114115, -1.0841839863306884, -1.2503382589750354, 0.6435521043721968, -1.6087651474800642, -1.2815267406019502, 0.018457582581610454, -1.6230068083078089, -1.9350090924695258, 1.9558125976822716, 1.9253674361943325, -2.883878782934656, 3.7403741083546556, 1.7616004952604711, -2.388637868265575, 2.78696521302567]",1.0571428571428572
4,"[1.5697639238744405, -2.400487997754237, 1.3176668360199046, 2.505108253529187, -0.40851864073064426, -0.18542565815027162, -1.160213676664412, -2.685810624551284, -0.45564878587992136, 3.784483212834435, 0.7719535898984806, -1.2535762542033435, -1.842113645772542, -1.9007859202847106, -3.1440684230966167, 1.3625862667334867, -2.729030739231444, -1.1869570398273481, -1.9603588092136606, -3.605171097649421, 0.8442821981438262, 1.8606200792685081, 0.8106710434073596, 2.6316995103703067, 1.0115912372704066, 3.4393885799647084, 0.6796812810878681, 2.8950951561336598, -2.250268848466314, -3.319709390860172, 1.3079122845371134, -2.498037083349393, 0.23988665462630698, -2.9115480500830673, 1.8558190096582807, 1.3673958672452033, -0.31369513712490715, -1.2550603914596088, -0.14968095424148464, 1.843317641029702, 1.5915263324753006, 0.30595303899755666, -1.1644972752514517, 0.9086800401004684, -2.3913132728161988, -1.504059854078236, 3.7627198993469264, -1.3535163823334169, -0.8206508925196146, -1.9029209140409993, -2.830660897449983, 2.5358478621840552, -3.409693702685514, -0.08898569149148261, -1.9911742493194653, -2.4757465997917754, -1.0773045429308419, 2.2595298976425227, 2.7248691641802774, -2.434761811538128, 3.7764667127632348, 2.708118847170447, -0.8451445181455515, 3.602133775263688]",1.0555555555555556
4,"[2.650290738552715, -3.0257632036687383, 0.09125379748444637, 3.194898997022424, 1.027685941673287, -0.45068262465328235, -0.01859029589494382, -0.7727483842570322, -1.0229976925833064, 2.7414067798376847, -0.7556383959191939, -1.5021061314006663, -1.7801297829793603, -3.030932817339684, -3.4858821204100634, 1.3704969455665776, -1.3924980545919947, 0.9121950248764841, -0.11409223400557056, -3.3554773033587963, 0.43868043678654295, 0.07450683698228566, 3.594143140303115, 2.044004364294315, 2.2486257826262324, 3.4655076146989505, -1.0121542374310395, 2.933517511948841, -2.7061822950471983, -3.3161012542448702, -1.2665794852055035, -1.1955779883367175, -1.8243901151880038, -3.3526441841498347, 0.21228442303793305, 1.2034274706642918, 0.32268463825033156, -1.270205241156269, 1.0328292965851018, 0.48873858014437976, 0.7294649261062376, 2.269552259177896, 1.5688300228321976, 0.540436764115354, -2.4052505728898996, -0.6013701981872592, 2.88833286319284, -2.17069427554133, 0.8799987758410562, -1.7671602780570892, -1.5186639250022036, -1.029596086352158, -2.850087464101354, -2.2545264636176814, -1.6241272792098513, -2.44689376860978, 0.3359724780289673, 1.56219475761668, 2.940543786732342, -1.711500830399022, 3.23689676369967, 2.665450602058277, -2.6283421980784767, 2.7190030389074216]",1.0526315789473684
4,"[2.785783917675353, -0.14856611948077503, -0.15490448744975094, 3.056504364978683, 0.5318492732775664, 0.08094671533277353, -0.011729188207091457, -3.2986533100309345, 0.564753917126896, 3.5037503792079336, 2.0653121870858238, -2.6296034828144186, -1.7013641104414985, -2.6963752603222813, -3.3310795670750757, 2.2479090314410026, -2.683093127851137, 1.1873524441167744, -1.214160216743632, -3.7339555766521384, -0.4681333268325709, 1.896490209416189, 3.8039493832281415, 0.9365638192999477, 2.230291892806776, 1.9215864153686333, -0.5659946525538935, 3.852077142354994, -2.790213291050369, -3.3434596284707063, 1.9809808370322086, -0.935301510468777, -2.2199330315977925, -2.067751053789563, 1.3959640197453838, 1.604191391296432, 1.2373582787409227, 1.3713394778282968, 0.19289133838932906, 2.07074355233136, 3.8888504683461753, 2.0260181546365064, -1.1539197335864324, 2.883184715684732, -2.1295496241445484, 0.255426022217067, 3.184852807658336, -1.259216179380236, 0.860477087592087, -1.689269749961719, -1.1850765950796878, 0.7909575369239579, -3.401128355614271, -1.4517403892847573, -2.02406811549676, -2.2996350957732736, 1.7892970495682512, 2.0350478523139195, 2.8171482346791485, -1.7099769429669627, 3.8770856163719354, 3.3364105239565123, -1.606641748031948, 2.819440873580039]",1.05
4,"[2.0675515673692817, -2.43242125815942, 0.2931972773250108, 3.4723948398595352, -0.8974715652338555, -0.3342888309323754, -0.22716635435986804, -1.1261700350768953, -0.29016238212318823, 3.399390352052852, 2.145762129351477, -0.329439167785996, -1.4343911329152865, -3.028498034481832, -1.9649680256769402, 1.9282347964073105, -0.38426123090669917, 0.2921448648919992, -3.552599898882036, -3.3499116265810316, 2.2999859298369114, 1.5701046123709421, 3.962194360587757, 0.6024423576756756, 2.1969489850796466, 1.3925874612111198, -1.098455774602853, 3.8524406667670954, -1.964779433652586, -3.0158651940682883, 3.006741511079671, -2.41179830714006, -0.12197748173741685, -2.573738456190656, 2.1901454466082577, 0.6208331561193411, -1.0152319543530388, -1.4749320162975676, 2.1466849570165394, 2.4849411143406828, 1.9503692561727362, 1.2640979971750514, -1.0719755355500793, 0.830671779660686, -1.4170930536218935, 1.6783875475338177, 2.96809029159904, -0.930216701319366, 0.8127876354876615, -3.353811078520196, -0.8903333256021466, 1.2893518811356879, -1.738232173019936, 0.10750441195905225, -3.9425389356467186, -0.9069801789573257, 2.325085244292901, 1.94467766865034, 2.3036929833836237, -2.934010275842512, 3.8850168541026293, 2.9977172737428206, -1.3407299602213318, 3.0236228073066664]",1.05
4,"[2.5678612376301313, -0.6837618052398547, 1.0721564951431997, 2.0654018346479255, 1.7181928253914316, -0.19520728764719308, 1.9915685316958534, -0.1449210188530623, 0.2221253537549357, 3.905151209269635, 2.032354353042577, -1.0429187948862417, -2.154120898683557, -2.478860043069721, -1.9502908296652894, 2.368902871212619, 0.31262942356745094, 3.145755695843236, 0.27214783767701656, -2.890415212113825, 1.0546517812740301, -0.621146599928843, 3.884319451316636, 1.4420250450951586, 2.180129981867025, 2.90932165945846, -1.4308939054327192, 2.7788942485464747, -1.3948480260610734, -2.9887399201604614, 2.2096959844592035, -0.956990629951349, -1.999721346051869, -1.7962270620207095, 2.4163323763560305, 1.0697933909276585, -1.170684790350263, -0.8766047257091434, -0.5079106494664956, 2.785949744608348, -0.46291452088857543, -1.8381833180395482, -2.0474044189465923, 2.238377390882346, -1.8546702335856955, -0.4974790514531846, 2.135761584489357, -1.8244927542190559, -2.467058450350668, -1.1227481357376208, -2.814105593667811, 1.1276594923574605, -3.162012854786129, -2.338494443821391, -3.298395288370823, -1.293122916519672, 1.9133009829520375, 1.9790473549923902, 1.511344076814093, -1.7851771734907151, 3.8871988504222053, 2.114153946877689, -1.5073702351817508, 1.2440723151736202]",1.05
4,"[2.743383562761544, -1.6033508940014891, -0.7374616164280903, 3.5404387141680744, 1.8524107625992974, -1.5527794478205228, 1.9562177933181744, 0.5160312294926888, -0.37563655558665426, 3.014100513505946, 2.0057313891013755, -3.3484109154905455, -1.46259844232196, -1.8550892704304438, -2.8610297782950713, 1.8435031135862299, -0.2418433419514674, 2.8371251077766324, -2.830752096431715, -2.377121649031502, -1.365079457112051, 2.0325883862239316, 3.1776242112464828, 1.180084604497127, 2.1256262371101373, 0.32102663120237973, 0.2853114767140572, 3.2737783218596714, -2.521148470026491, -3.3440116922773013, 2.6024240206260676, -0.7012636784587882, 1.1529413650330802, -2.614078325900567, 1.3672603383522621, 0.45433528131766643, 1.6123753242557488, 1.545835254794632, 1.0898022448627853, 2.4695543752395026, 3.112519709411101, 0.72327325414855, -2.5067618327917294, 2.9056878471629903, -2.539155072958583, -1.736509326169366, 3.1273944878970044, 1.2243583914830134, -0.6174190486263554, -2.817738029782143, -2.6916966534473215, 2.0126944513834943, -2.1506737084711096, -2.8451359223606323, -3.6656474323101187, -1.4427442131266106, 3.065150490051817, 1.3951385577974942, 2.8633143384534216, -1.444754821501176, 3.087080113062033, 2.0657916340956635, -2.3156243038196953, 2.540321330212463]",1.0476190476190477
4,"[2.5637762765662897, -1.8897199762572006, -0.7402583192585585, 1.3359614902919792, 2.155482525413912, -0.3048842739366722, -2.0556700947394746, -2.4043361712430684, -0.21874840529578515, 3.730877830249384, 0.1444934655602359, -3.222069895033919, -1.8387809869246947, -2.6596428527391485, -3.486178489484426, 1.9620552663281545, -0.74731241088483, 2.4595053429067733, -2.805002167987589, -2.743422899563615, -0.16420222508413415, 1.9074051323898824, 3.9624360103371963, 2.1111173084680552, 1.0042636276141623, 1.7539870749200104, -0.669062293305531, 2.5047833587580053, -1.900204141447397, 0.048430596279463, 0.3826426100854874, -1.145122040625287, -1.2625782593386503, -3.2070613888336243, -1.4142113499595408, 0.004186696985878036, -0.7087473628725445, 0.32144223353385903, 2.261323444115985, 2.5213757804530106, 3.5095237998414017, 1.4077440725491077, -1.4291087934243494, 2.0674611537431917, -0.6328617535341938, -1.4801621850250841, 3.6969779788304904, -0.06343435814177067, -0.7698215608652552, -1.960618221324714, -1.830594391640179, 1.173099503281561, -1.8722223750214928, -0.8072618413865261, -1.3525893880211426, -1.7034943849559558, -0.25532942990475715, 2.092874022194199, 2.151030123656131, -3.108080261810568, 3.2938098007550467, 1.9144809531599525, -2.7512648839756384, 2.1763210375417783]",1.0462439840970914
4,"[2.912293180330628, 0.0715642659574085, 1.9341315708476408, 1.4430522891851638, 0.6015014634856279, 0.14871560126446964, 0.20053785653499412, -1.357975504255095, 0.6161170873568615, 3.6661662429721034, 1.678732661733514, -1.9266227314980546, -1.5877653056975936, -2.23727370775089, -3.4870107366590957, 2.401296521291185, -2.728164070040977, 2.4004032976327605, -1.7495692005611576, -0.8479383029349155, -0.28776626825377116, 2.3829183599457835, 3.658792700271532, 3.6547059346281654, 1.6891899975418463, 2.716657147102575, -1.2536371471191143, 3.2436537184164593, -2.5290321631849295, -1.8523016915190258, 1.5300855562319724, -2.2365687571857635, -0.5545013146955926, -3.8379100578217527, 0.8380026928998636, 1.237513949904393, 0.2795446754870625, -0.5401607695330392, 0.6079009993882447, 2.7857295733599536, 3.087841692676435, 1.4383027336145107, -1.6162173632642358, 1.6873285143987062, -2.245886437880783, -0.4759003885852996, 1.3074026891377983, -0.7898963454376513, 1.81738716828563, -2.215158119020109, -0.985744995137007, 1.4757963557254878, -3.100815385159609, -1.6420638999805337, -1.4135481667375047, -1.3538697363968422, 2.2828363095020183, 2.1401120347189204, 2.9954646342272673, -2.470807410361979, 3.882320765394997, 2.6053276483445535, -1.5018277956361155, 2.528089978608719]",1.0454545454545454
