Run Index,Point,Objective Value
5,"[-1.4687464948985762, 3.6593028323253827, -2.0629657507920145, -2.31586636448263, -3.0847920384646472, -1.5862077431797799, -1.0800939025861729, 1.4591548748879264, 1.1237126849591799, -2.532239664321847, 1.8217520336758117, -1.0615021185375948, 0.7870642580482927, -2.8360742345836623, -2.3358049714454574, 1.7749969028486248, -3.0628069740980783, 3.3970402980544914, -2.552839202739512, 1.0594941903680057, -1.2223773890091998, -0.9058236917534132, -0.3052333889629344, -0.3590446322948435, 0.8825125448302302, 2.38089356500083, 2.3921093508719604, 0.7199164984727324, -1.2381849662591107, 2.253158740897419, -0.5056031577148905, -1.5026538536997207, 2.0917193549095887, 0.9013293728223896, -0.165134183035055, 0.19127494765082076, -1.4532247709475765, 2.525210155380039, 2.324968671613351, -2.025444358348573, 1.998507173747633, -1.0247469161232812, -2.570372233533418, -0.2999230278931777, 1.2690982364826864, -2.8917392050133217, 1.2022287184864933, 0.15998856508582887, 3.0194191450387846, 0.930957254328306, -2.394994143593343, 2.6210793978197087, -0.6299337081402439, -1.8568371884384895, -1.1412779048175106, 1.0850163695522816, 2.276216035142315, 1.8890988606368946, 3.2116844230264245, 1.9579482298089843, 2.710419960149524, -2.1195049436651368, -2.7527957434814803, -1.5843053089508454]",0.6475230162209558
5,"[-1.5053377274138502, 3.08812607896603, -2.5521141930842335, -2.661330250378134, -3.6831205474425053, -0.8647319666961325, -2.104365419995891, 0.33993343761549755, 1.357115555421493, -2.4498832791056007, 1.915463968048686, -3.3921046984710284, 0.8721561987321675, -0.8684036607774702, -1.7488619630151274, 1.1270040864269384, -0.9830559338166878, 2.419449722329248, -3.6688536179495217, 0.706688619322185, -1.5009697391051646, -1.3125843224142648, -0.5655606174701047, -1.8441006648363816, 0.13672786054341513, 3.463219791931721, 2.8399735994114446, 0.8169192226511381, -2.792713295113792, 2.0999341344136058, 0.07615691401221436, -2.4974077085208397, 1.8719885756729708, 0.7840010658553362, 0.7170896077871354, -0.14330389032425073, -1.7556477517120195, 1.8679703036313637, 2.4068700006090533, -1.8464765450806913, 0.23713039085740745, -0.8429283312836178, -0.6642359964145714, 1.9289092617797587, 1.121057518289823, -2.9875472177958997, 0.5917357356943167, 0.08898678206064314, 1.1899000304251603, -2.1301371767361355, -2.3941475521891373, 2.614300458414264, 0.3407597534199911, -1.7165719099211527, -1.5151274090152085, 0.4582580316572653, 3.126499768863978, 2.167438622522768, 3.3824721470877344, 0.9801500023537978, 2.8512944759888326, -2.359996873259626, -1.6205152299345702, -1.4645139770201143]",0.6588132635253054
5,"[-0.8845689528920608, 2.195928814447515, -1.76133784797647, -1.009469497525811, -3.079425927499913, -0.5697854829803009, -1.248575445147775, 0.19605873199555007, 1.5818156568354462, -1.3222269599865228, 1.2860953200780831, -3.3874987511777745, 0.8689239371648705, -2.4637455905506016, -3.4822574178544556, 0.9673280030286571, 2.1368418952195496, 3.3140511542526347, -2.618829117734373, -0.7473781748713766, -0.6521452516253234, -1.937676996128736, -1.7245450826505924, -1.598430098017603, 0.04611516001061755, 3.049818317574458, 1.1496155268772084, -0.6092645530890292, -1.608766630715953, 2.5398103231608125, -1.6550675338407193, -2.476800420656469, -0.9552923768870036, 1.965114238344389, -1.0047342230111784, -0.30097433911175725, -1.4308024638002053, 0.898279641327099, 1.8574202193396463, -0.0674960362894117, -1.4684072037804061, -0.7788001358427705, -1.0613687808057115, 1.3954166666420804, 2.3085452315844757, -3.1468889185939806, 0.4111952845463168, -1.3242019111421262, 2.6363826040394382, -2.021286710692353, -2.842876802654102, 2.299534489387118, -0.38234062007923447, -1.4659312288285817, -1.7100473167062433, 1.8641492085169826, 2.989305024675819, 2.0433044521053043, 2.6151852758506324, 0.37637031265014115, 0.819550527703442, -1.0288438211597413, -2.728693336729085, -1.37571371961019]",0.7611209964412812
5,"[-1.79643473840448, 3.3091724790766786, -1.6047136301806153, -1.444269445473478, -3.3582799176809672, -1.7234251322737588, 0.7780944297561827, 0.4749993123790096, 0.0649474333015232, -0.13637527662717508, -0.30666225721598384, -0.8055151042728919, 0.49509939010380566, -1.5806532007323861, -2.761665291645444, 1.830396239664179, -3.403745971615384, 2.934838659749598, -2.749840764119999, 1.3065006710571114, 0.8911676141627776, -0.9999103930856038, 0.7819442820502063, -0.7462862141870906, 0.38279574766677826, 0.681749821389203, 1.4363359216348197, 0.6265788654261302, -2.7295463281789187, 1.0683922063714648, 0.8542239664150839, -1.737060748719238, 1.4474319654195291, 2.2075350576745634, 0.4716640137897383, 1.7349788346822979, -1.237724331102993, 2.586925893237892, 0.36045863667137956, -1.2297408042135343, 2.2791684624276467, -3.2494899128092296, -0.4958190499829307, -0.777269072940144, 1.8927298364565557, -2.8618107851710857, 1.0357530311881085, 1.4224069068173315, 3.421974179870759, 2.197032202218847, 0.28225639669625213, 0.8507938858122797, 0.21588461592167965, -2.477130859376923, -0.5365061257843575, -0.17065227687719642, 2.02413659104731, 2.0645041845228334, 1.5286086711094562, 0.9109327100324682, 2.8726216893317953, -0.9079912734432087, -2.505396818235574, -2.8312313351597487]",0.7676678445229682
5,"[-0.8076966948555687, 2.9103356664337627, -0.493559064394528, -0.9100563232770511, -3.7254117053135665, -2.3413537874802213, -2.1662280610865494, 1.3363850679500904, 0.004530631497034143, -2.3276282477268104, 0.9979012444981008, -1.9093098360861687, 0.5320730397741029, -2.852639284710962, -2.6086940542342156, 1.8248434095258224, -3.833165942669476, 1.9164488959142627, -2.278118448236034, -0.014606937022973665, 1.5123585148240508, -0.2840437656309355, 0.47825098252825116, -0.3374292406699791, 0.5084171692769659, 2.2771782854877554, 2.412239143280257, 0.7125809826511857, -1.2881771320375186, 0.9211473276299527, 0.9036083621696347, 0.46946383714995554, 1.9819245615922694, 1.9582626390315578, -1.3300097459021663, 2.6083531984253683, 0.4544374344524335, 0.8483802184750786, 2.420737775410351, -1.3948733187201356, -0.06539438733693181, -2.8517264037020222, -1.9772349295208838, -0.09897902651485552, 1.7312345240746378, -2.1138066371602235, 2.7486473299196454, -1.767095780274266, 3.3478727838351654, -0.15908490636231942, -2.37124369080494, 1.8033766913620646, -0.58452023703859, -2.1399737686474554, -0.9742840827585357, -0.5915748245154873, 0.07614396624439035, 1.8578098510388072, 1.882477716539829, 1.3963342786030406, 0.48097257560811313, -0.796408726832081, -2.106578526731347, -1.604013023181424]",0.775410563692854
5,"[-1.6890692096783209, 3.4150409185824144, -2.5457436500602197, -1.6473505004398248, -2.892639533278933, -1.1456206268497364, -2.2024197028689976, -0.8080353618262369, 0.03541661019501505, -2.677760732340383, 1.9682754324975726, -3.347080279839265, 3.098866668292815, -1.381284838903875, -2.0138226956882024, 1.6849150684886696, 0.07288093423452614, 0.6018577087553576, -2.834433454149273, 0.8698093116038618, -1.5814136596235961, -1.9545413687564903, -0.7293045220941726, -1.1616137284963097, 0.7232874162428096, 3.039979961946817, 1.3699007014869045, 2.2422512730562447, -1.585613742030512, 1.7157523077559742, -0.36855237280175235, -2.240550067500973, 2.52599665487954, 1.4099327104713888, 0.3066364629055556, 0.7593180723169128, -1.745463587256739, 2.8103664938840707, 1.7628529433702789, -0.6241269124586971, 0.13051715619539506, 0.5375356726445053, -0.5476723044146213, 0.7981230239489987, 0.05876720656751944, -0.9830900140037289, 2.0780844901533824, 0.8511584258326432, 0.40976408287409416, -3.4864942932241605, -2.3433745026691684, 2.196102108438145, -2.425404848237446, 1.1740412934965383, -1.9646289265913843, -1.6460211963399134, 2.1216659429264615, 1.60810332174511, 3.243930443085802, 1.2077999991019885, 2.9312081529188556, -0.8186326111835849, -2.7005872021757757, -1.2338534429781247]",0.7777777777777778
5,"[-0.8711137549558217, 3.7314549896162554, -1.4518234574520907, -2.5652964496688586, -2.5151537910606825, 2.4551072979687794, -1.7611527653035701, -2.3933814692556483, 0.9011832975464331, -2.3108682641475555, 1.4412225099835438, -3.1121055127466315, 2.449334510787944, -1.9319692463802518, 0.289850064555778, 1.6228814958497184, -0.12868386128906412, 1.3261688317672071, -2.17802210155003, -0.9649919828300467, -0.7998363204161405, -2.372045331429282, 1.391129979594818, -1.7990207102643783, 2.237539409704202, 2.190864417341515, 1.250714807935943, 2.270774073611922, -2.4870798684681708, 2.4512602457448964, -2.1220253073164472, -2.3607163751700813, 3.2718684500022897, -0.5021519835686084, 0.5825161580730215, 0.9099989765706794, 0.19966550705059372, 2.899697707806631, 2.3223927612488495, -1.3860128422682818, 1.0252708742666694, -1.1676783418356942, 0.8284447034486776, 1.5134770986594037, 0.1595680023808097, -0.1519881962808297, 1.311611085174103, 2.242760527219686, -0.9063385829109127, -1.9077829455047743, -0.4638068349249509, 1.9177804809793249, -1.4714099471781408, 1.729667388670424, -1.9994959029248853, -1.6410311392165897, 1.6022105306714023, 2.2717555510128493, 2.809041568864713, 1.5524665376442117, 3.1372462543548982, 0.5729773270187768, -1.986398930750751, -0.8778342129209022]",0.7830596369922213
5,"[-2.4827591035836756, 2.9822236151812547, -2.6466939546946655, 0.08172267115678672, -2.074779846798845, -1.283081379005931, -2.206008462873779, -0.6209451628728675, -0.10470451851154838, -1.5548337062617177, 2.1361076600390954, -2.17354615635554, 3.0320679010927227, -0.6196090575619659, -2.1856292756167623, 1.6346954465066155, 0.558107869078901, -1.0241558875167827, 0.1465038578515483, 0.06305661357247838, -2.271442772960228, -0.5145946439665223, -1.0447158061589568, -0.4342617420834616, -0.3993954112609722, 3.1291357017264505, 1.5828200190781092, 2.4266212320546687, -1.6293527266593688, 1.3259952830585604, -2.0078807652200896, -1.5106587965341125, 3.056374405475638, 1.3401006853963384, -0.9762235009944255, 0.2152219509214287, -0.4282592041677652, 1.6747958517920336, 1.3779905096047784, -0.5561368147785426, -3.025781594974218, 1.2478047745351057, 1.973250581598275, -0.4035558827391419, -0.5243260434948116, -2.221676961540432, 0.6400092972478194, -1.090703549401668, 1.4553401078522348, -3.502865871487388, -2.350879371508218, 0.9257824985473802, -2.9048462667335837, 0.04108643403924034, -2.823481397347334, -1.285149544950062, 3.224248134266861, 2.124915252109095, 3.344363607933357, 0.9024113204567058, 2.760550601114289, 1.2790542345259444, -1.446328842058427, -1.8461710007417258]",0.7869641294838146
5,"[-2.2215517746683626, 2.575791659584645, -2.0790714654702844, -1.2869371220199632, -2.0366272440978843, -2.056556982011189, -1.2583221659125794, -0.5542636742508324, -0.7050171465533805, -1.32510734917481, 1.923034802554251, -0.9432877533867485, 1.5054229458674602, -0.36153705292635285, -2.5906465188552965, 2.194649288867108, 1.0233491848611243, -1.6363015896612696, 0.013213023203090701, -1.35945025340283, -0.5814927838558319, -2.2568479442325753, -0.6685821307395143, -1.5087915650101924, -0.02047498996600712, 3.169539918713346, 0.81647624669641, 2.8883976286048885, -2.4162832628037236, 1.6186960488894058, -2.330558037041334, -2.488482126891044, 3.053321608652605, 1.5075302709557297, -0.6132074799112479, 1.538791364679, 1.5034859389679034, 2.2815321398686903, 2.5829415811035012, 0.1515823025595553, -2.7047089749672293, 0.8757579449814156, -0.649803119774269, 0.8860184301635312, -0.9868192582346741, -2.9528003564880545, 3.046806344827135, -0.430226264190706, 1.4684832964488153, -3.4567094357063883, -1.214593799771486, -1.6269702398377506, -2.694156873790332, -0.6706419091333881, -2.6856852061212906, -2.5074158542613874, 3.1205238230994685, 1.622353627375623, 2.6054882457257533, 2.7756221004855934, 2.7138032444369524, -0.15369886211975414, -2.2866166758474638, -1.462074784764657]",0.7883597883597884
5,"[-0.6997389250932498, 2.2976220104450116, -0.9945401940713399, -2.2012895382989615, -1.8870696558284925, -1.6871160975826731, -1.0108422140655549, 0.4623351319767013, 2.520567447920049, -1.435104852777636, 0.6674809314068493, 0.24232527441668195, 0.8219345731876004, -1.5220869522164338, -2.1516852398586277, -0.10375823878096169, -3.239111087625137, 1.6450876205767049, -2.6414237815587414, 0.7092075752891424, -0.8735737496896885, -1.7891862058202372, -0.883785405258106, 0.8154477358582424, 1.3726730999823191, 2.4533594367062994, 2.487318940108938, 1.1726724812085225, -1.2707622388495974, 1.8433981882971524, 2.9511219071408528, -1.118577381074534, 1.7840702499990013, 0.2951746103063293, 0.6636300007014189, -0.3968251320076645, -1.5606158395347403, 2.3077691992384266, 2.375704788898232, -1.4345686265459963, 2.185211777407133, -1.7923263322229577, -2.0731578414570393, -0.02653003466455206, 1.239427225455023, -2.99776134897801, 1.0521099194115002, -0.48838488825268317, 1.7350164672689081, 2.2875407342740033, -2.027542586039664, 1.626777716048418, -1.3202318504577837, -1.1355149358705252, -2.2916409016653936, 1.725001392749805, 2.373383480899417, 1.657901585053808, 3.3147402503003565, 1.1525419631736298, 2.721956264444319, -1.6366574807202028, -2.647593195386502, -1.6784702508938365]",0.7940792337831954
5,"[-1.1225333333272505, 3.4887706143942667, -2.0154111742510152, -0.6714075017826995, -2.712970286350841, -2.553375052796076, -2.4277110217761786, -0.21741308603835857, -0.1156026185110631, -0.0654972908853575, 1.114216144212884, -1.7221644237059244, 1.4741673939981041, -2.3083713774193617, -2.6309131760299618, 1.9560200909033565, 0.8804503939188034, -2.1910478111744713, 0.3106194854657143, 1.2649192050320637, -3.0368975967042147, -1.2616047555645795, -2.5856156096817604, -1.7300422840833773, 0.24853170113766382, 2.3476818778268593, 0.5181167996449643, 3.0122259123807233, -1.8106072449925217, -1.0577102451826441, -1.3934419649562342, -0.9106099003193194, 2.4325290455632844, 2.4727886690995007, -0.6318040452954581, -0.7838893150956368, 0.6956890444449803, 2.8515243932827525, 2.229450503828053, -1.1266917299998647, -1.3445751153576315, 0.05928365872867203, 3.128109118967677, -1.0625588027174038, 0.10760234663100654, -2.8856873573770976, -0.8436721244374357, -2.22576513536434, 1.4517486859294375, -3.438974968346651, -2.8223693799497274, 0.11250624873959136, -3.1220276502097493, -0.9403676954053211, -3.037919750733199, -1.7016718740128303, 2.4190705828018624, 1.8967788625621438, 1.7153363765266931, 2.288570708825559, 1.9016073603120822, 0.15907866988322716, -1.8930239281348786, -1.333208471535966]",0.7983340640070145
5,"[0.4398009307011914, 1.7390999688670838, -1.9278420571099972, -2.786443881377594, -2.7932488336405052, -1.0493175610087786, -1.3695569732300443, -1.427379751906467, -0.8367555636730816, -1.5786778387477245, 1.0154600602611845, -3.332169699608152, 3.4147645375129763, -0.591619831236772, -0.0430407585426964, 1.2720573968750717, -0.25098602728911334, 3.400246165594365, -1.831187608150241, -0.4700593530933109, -1.8786358401540104, -3.29572955209109, 0.8660097634968114, -1.0057134125196092, 0.4445714638249286, 2.2813743964838546, 0.7289758881139983, 3.4550879933921816, -2.5602828840093976, 1.2350745007229775, -0.6537985951245608, -1.196172199559941, 1.5713748332943929, 0.6399532032216659, -0.2535350026133217, -0.4529936910815391, -1.6374803328470993, 1.3768011415485697, 1.9352211258421153, -0.6419145320077926, 0.07559449889942549, -0.7709243403769053, 2.3245592311630916, 2.7474322308759325, -1.0338713893958136, 1.9064549852014043, 3.6423446387548104, 0.08502971172265394, 0.24340311983256357, -2.7213728746167787, -1.6502697088815348, 2.5760575898458, -2.342184538934451, 0.8120711311991168, -1.9657831212113162, -2.4495873907893375, 1.2247283044923318, 2.131672335766754, 2.657795454118059, 1.9862640244635632, 3.2462559540944307, -0.4271581243243334, -2.4574698062145455, -1.1662945888735217]",0.799650043744532
