Run Index,Point,Objective Value
1,"[-3.754064942893925, 2.6667459213594467, -3.2196190397312203, 1.5372709830227569, -3.439918099126786, -1.7970846044756543, 0.7568271302237104, -3.0624377337476494, -1.36238533141051, 2.3101781472758534, -2.0809696010995005, 2.0276273721344955, 1.9862641053854908, -3.521901893510511, 2.220839455043242, -1.6304421156625761, -1.2016087702334457, -3.797093330776837, 1.5119296028119582, 0.7762788458180027, -2.1114316353264746, -2.6328226267868615, 2.6744430337916874, -2.9123696176432903, -2.0888621128304123, -1.9914381617461074, 0.2737280136896916, -0.6997996102717174, 1.9188322034034462, 0.43989824256672994, -2.545680093163879, 0.7786750199343981, -1.0698622530319177, 1.0895693535437248, 1.1557289488273221, 1.5175690582228512, 0.06388395129397839, 1.5860569176689623, -0.2512475047916552, -1.3468626207303132, -3.892824427702279, 0.4634875107233416, -0.5706999628485225, -2.9542384038232314, -0.12496018241798945, -2.452271601366126, 1.1914902017265128, -3.520438197828655, 1.429837674569407, -1.1500039071326336, 2.2425223479616214, -2.8215206029778757, 1.9025189813280394, -3.101729332410038, 3.252606179304216, 3.5229925005082166, 1.0401241152559764, 0.20077098373470156, 3.0605515649226414, 1.6117079389230964, -2.171027505104163, -1.1073753800065689, -3.915305708301897, 2.2937973939770977]",0.72
1,"[-3.7916123633500467, -0.5013740173829173, -0.8912665994693258, 0.09504569042884037, -2.8288796998327412, -1.859671245430257, 2.834622023033687, 0.9497893649593045, -1.9328285647176302, -0.8679082321287621, -3.179363095063763, 2.222547401931615, 1.1388732155152255, -2.5894800966795932, 0.2495433921460298, -3.1618508189595156, -1.1609449219611658, -2.443963162004809, 1.3720719421327932, 0.3047667747825912, -3.1581007056363775, 0.2714567662705548, 3.3085298188031365, -2.031957560325004, -2.845008667758096, -0.7808625632577223, 0.285774328128128, -0.7945851470704248, 1.9000728102997075, 2.433863358202691, -2.4201439953344384, 3.497565772791301, -1.6798435410172987, 2.0717696965079697, 0.2025705261021784, -0.9777567785796588, -2.881794394687826, 2.7835230037614322, -1.7191321562994162, -0.41722295790038744, -2.78911144939705, -0.9755351460317859, 2.1433191417323068, -2.8007831395452345, 1.1273342125675487, -1.6992192565688318, 0.9864713083656279, -2.8820815496065526, -0.6167811276086932, -0.6070505511901698, 1.0475164802936607, -2.9450808363184082, -0.034875370901417735, -0.0944829943813783, 3.379094736293078, 3.214141786107448, -0.44872225601866067, 0.36270042651696277, 2.1882805862304715, 3.023101420731692, 0.9601381858965222, -0.1266597394473039, -1.8532671050922507, 2.496282500237138]",0.72
1,"[-4.500077568285849, 0.9340250959029133, -1.102381110239094, -1.3894052759797497, -0.5303706558119399, 0.32225686063317904, 1.8995420228676778, -1.7494546123593335, 1.9172579128410696, 2.3836844229934675, -2.964543407552593, 2.5012783258802425, 2.811704131681342, -1.6211338974114085, -0.2945325975847846, -0.6459230389477528, -1.0955204462419519, -3.711637446665054, -1.0334101116353671, -1.544847329550923, -2.5527176662766267, -1.1971501720607698, 2.6989433714010698, 0.3671532416741057, -2.630417823833089, -0.2900381215604272, 0.12262908688464336, -0.6536032859087989, 0.3936223077637945, 3.84026568467282, -0.4663176051490354, 3.3116054204174765, -0.8230564220105212, 1.0607933130097456, -0.02531380791607718, -1.9163109987060418, -3.3916591628813983, 1.8044886995815745, -1.6713682434365087, -1.4292236472717026, -3.069032903675044, -0.7352937732343415, 3.677460280654034, -2.2095185308615064, 2.3258706798354245, -2.540962439694499, 0.9350918130788303, -0.4125581412149366, -0.08187204302087692, 1.9673156567303356, 2.0161300557975284, -3.519955231774991, -0.9061227894869148, 0.583454292589116, 3.401253606526781, 3.5169938639600495, -2.854893946383173, -3.342422359812552, 2.9563513871274685, 1.280848330314252, 1.9390516214227436, -2.5251992877535683, -2.9231787657635433, 2.747858015697574]",0.72
1,"[-4.076637552336392, 2.3646551182061164, -3.235005063120032, -1.6729728315405552, -3.5466734539676623, -1.246812773973562, -0.0283790498295593, -3.4266077514944335, -0.6722957266691668, 0.932048902103817, -1.4579590858861085, 3.4276604209401142, 2.1789182857730145, -2.0808726018552806, 3.791329950733795, 1.0158630791894667, -1.0550794016972254, -3.945629857925388, 2.416868489423925, -1.6697917101714927, -2.9928923668048157, -1.0367964857505003, 3.167255181932931, -2.8153180983188615, -2.3041289393624678, -0.4130500988042265, 0.2929390523514912, -1.7984231209879764, 3.13135560431524, -1.4464447394440123, 0.13507297506659777, 1.2492568188764772, -3.2839053656545376, -2.641780437400664, -0.8428292053137212, 1.9159499715492379, -0.060848476150121664, -0.048249758825902545, -0.5442658851712001, -2.57050313790311, -3.367727087425691, 0.8607298492690034, 0.892731158529483, -2.6787871706761472, 2.72764206380728, -1.8255446812161775, 0.24178794367948997, -0.7122937120032922, 2.6179740886344085, -1.5967520157012975, 0.3345080622348675, -3.936732141040223, 0.9373282289858931, -0.6652077141664869, 2.088511078430251, 3.3197745071076548, 0.9664590208975328, -0.44980542548748315, 3.106492271323302, 3.633301879428739, -3.490091064998559, -0.22632208583515223, -3.9094877577775824, 2.3321397775814274]",0.72
1,"[-0.8486887894698705, 1.9300888390819937, -2.096093691180695, 0.9347227186382003, -3.2223973273519384, -2.2825314993085186, -0.024598602873808995, -4.480880667319965, -0.9121331284202823, 2.353031867416927, -4.213051617832734, 0.07435069229870761, 1.103373687054059, -1.823319508287403, 2.758538429516259, -0.6866202288605712, -1.0981972933756567, -4.105456697425759, 3.225091422612858, -0.7100090290786021, -3.1291825028738445, -1.4615530519091804, 3.1391484009399644, -3.382166118158734, -2.1558368157664782, 0.5457707899572275, 0.30798257279020547, 0.310209038919414, 2.37360353246435, 1.5026097250181243, -3.008460997034522, 0.29974160277680395, 2.1173876811702663, 2.313467992115693, 0.7973661787758561, -0.21661850580120312, 0.8363344023372015, 0.4123684071434248, 0.27857227191246486, -2.16502392123975, -3.5032439759733123, 2.0201503117103643, -2.1849954605582838, -2.5627091494740273, -1.796845969341589, -1.0151957487734178, 0.9654773959745889, -3.228674094883495, 1.8849467716176356, -2.248073865977441, 2.6042817219604557, -3.8077142445896617, 0.19519194512612636, -1.83382465628505, 2.3894963964739055, 3.5044617710400994, 0.07109851676591039, -0.3333647647216661, 0.48997856644966964, 1.810599538597073, -1.6734346081015719, -0.4734311943252375, -3.2549050780719897, 2.7734588075826037]",0.72
1,"[-3.9394766369408165, 3.7563724581507127, -3.092607682422586, 1.9461517629568204, -2.7549867020449943, -1.6657036476415938, 0.581702986265413, -3.4636223448625083, -1.6235898232773052, -0.2837033989826079, -3.1240245539153064, 0.736110944119317, 2.333176750528295, -3.6956206700756793, 2.8631968706908393, -1.69965516440938, -1.3408359073980862, -2.375235173777097, 2.9085628393034786, 1.368609303828268, -1.761501033901454, -2.8402532069756945, 3.08339240048282, -3.250362324650025, -1.0221270504798898, -3.8200891804430097, 0.2957999728487928, -0.7486299029284359, 2.7927436360045195, -0.21343700542712957, -2.6643427774371053, 1.3982327649957302, -0.6263664833617713, -0.1767205053589741, 0.9137716708035778, 1.123922344734811, -1.315716799084349, -0.6385778576329981, -0.11326323780273273, 0.02212478538738938, -3.7271142703824833, -0.10020114924625512, -1.8744193599437904, -1.2819034556463744, 1.2497876628097215, -4.23242206898639, 0.3630001761272881, -3.6026937372843735, 1.001579410941488, -2.5512731695371302, 2.3888934308864225, -2.8957067227705373, 4.131065180358249, -2.9231576215608253, 3.263024798387992, 2.638841377918471, 0.6649924722137347, 0.3872119896090171, 2.43463434802181, 1.4104286503296248, -1.194028821461328, -0.6261112284792218, -2.8313055949144648, 2.731664662468819]",0.72
1,"[-3.0554510357954827, 0.48322297155512706, -2.6876189876070096, 3.604110604922604, -2.2201239689868455, -0.7205539296805612, -0.4079408700782807, -1.694882583946929, -2.504480457396031, 1.8030689734643097, -2.530128525361477, 3.5482830324222276, 1.6762161154439545, -3.3766212222549536, 2.79271792572284, -0.8629426540305427, -1.1050170595017785, -3.977454746409033, 1.3189985011139833, 1.439654663939757, -1.9372930274325926, -3.0810565077635546, 2.3814674635527537, -1.8813085207370697, -2.7730575663232897, -0.4677194349871132, 0.31470774864744605, -1.232082444007303, 3.124788518823131, 0.7158524470599259, -2.3663102172972295, 2.967265102634805, -2.2201557703873984, 1.2945770647505097, 1.4477504641836427, 1.0912106609955186, 0.10010074181902115, 1.3945220291812541, -0.06768464521209128, -0.8498910875340038, -2.160301103958414, -0.28490137919536496, 0.4727029776425735, -2.035501114820141, 1.1597426632067371, -3.91359156469776, 2.7906889431612285, -3.2955538592018354, 1.1599478858263172, 0.8349751827267768, 2.585718681367804, -0.9499078265525953, 3.8815695714825766, -3.0471172520440506, 3.3058191085106725, 2.4026643119651494, 2.0313351066405696, 1.3010642030753787, -1.0077582509725551, 1.072334772561347, -2.1245427167614235, -1.5441331488726595, -1.189126774410688, 2.056300049741333]",0.72
1,"[-3.5988501379998565, 1.013820582057017, -1.9286580600865175, 0.05296535548329584, -2.677030712450068, -2.0810288046603724, 0.985294041279976, -3.6261175992413444, 1.1676776463904877, 2.191738577911757, -2.0525645205604985, 0.4834186310896418, 0.6311585501788555, -3.076308327090037, 3.6340455109678853, -1.442234803781752, -1.0958719847954883, -4.156063837498081, 1.9593233791662534, -1.2606989295384006, -2.348633586994998, -1.908185013651286, 2.2391390764239008, -3.693923881896203, -1.8400734633913882, -2.3408156171063355, 0.22211190974596126, -1.1948669896360966, 2.3087589976056404, 0.043115092749371364, -3.88432237314373, 0.6172837783641978, -1.3657516144979394, 1.0749760099879153, 3.092366136143294, 2.8339622412769367, 1.9938305951133528, 1.3350818395591815, -0.44915437117066537, -0.08015505610968332, -2.59263280910453, 0.7349866840249238, -1.5762457943904353, -2.741318635032928, -0.138584793665589, -3.888428499109174, 0.4016745816654972, -2.9283469888944085, 1.7232580434480202, -1.3910576018117846, 3.245588387752111, -2.864938729116492, 1.8220635999108528, -2.360426760941996, 3.400661794788897, 0.8107151994893878, -0.0959503064320052, -0.25043118439978934, 3.677260924131809, 1.897274527344151, -3.462045278707513, -0.4007732639538645, -3.5727609729970973, 0.6896853816930637]",0.72
1,"[-3.383996850484466, 3.429455076588752, -2.1613429973649065, 1.2708312471584482, -3.0550344798694047, -2.2861541932930987, -0.16912723788681894, -0.9708691889761418, -3.8454717196441495, 0.6314608446860281, -2.1402531048809674, 3.303851503083245, 2.113683528773371, -3.0329865837779586, 2.2863320923847956, -0.8495776980387988, -1.1530117602744403, -2.9914237205085232, 0.03690994949317283, 1.8171731313783963, -1.2796251187674432, -2.3397702140212693, 3.3120302734301936, -2.825094636530364, -1.3128995169411553, -2.713082336493781, 0.29116784557354686, -0.4135219558153442, 2.0471002547648616, 0.34433173403071665, -3.693693610558014, -0.2712021861327303, -1.9936459382279557, -0.7157201235983661, 1.3397385686024887, 0.7259065393819426, 0.004580511395319398, 2.2311389519631133, 0.2904858530111023, -2.2211317166547753, -3.617141761606426, 0.3005119965400927, 0.4151835764188495, -2.2902317609617073, -0.9125843165605206, -4.419924907393486, 1.1469367717037393, -2.1512677743327595, 2.167462792594533, -0.991753643869822, 2.420859632998247, -1.5144313415560764, 2.8530802439373293, -2.0182442069756945, 1.4210626944348477, 3.5250362189548716, 0.09524756439133086, 0.18543693617781482, 2.1585663136284543, 1.7372182620620134, -2.886454623660938, 1.8982613843330207, -3.419890958986537, 3.126322754627429]",0.72
1,"[-1.7904807352427945, 1.6929016944663424, -3.170978675652991, -0.15042534288794185, -3.0938917216043613, -1.741691853070672, -0.24317393312124058, -3.5285653827629977, -2.089385381141729, 0.33419683269043077, -0.47598887839891435, 1.3572651590410505, -0.2581345797925516, -0.17401997552573745, 2.4939452391485006, -1.3115597026312356, -1.1313241048773073, -4.223572897189356, 1.4796541543042077, 1.6815682463545134, -1.2580289903424, -2.980611696471163, 2.005761130857584, -3.4126623600076567, -2.452847333872636, -2.152719108770098, 0.3381601005500034, -1.6538754959833213, 0.3859443919449186, -0.1061126475913109, -2.2037781947632897, 1.7477197863230707, 1.288885162647894, 2.2208933181236, -0.38820688304195716, 1.7290545717296286, 1.1062566642431277, 1.9155097170861728, 0.36829115718590477, -2.152829456604424, -3.438587309586346, -1.0904555740436317, 0.6429188425737382, -1.64683512255609, -0.2763091701986691, -2.115492416267711, 2.425011082855382, -3.6456856346064566, 2.10177890059837, -0.25752572348940406, 2.9163099129979564, -2.106196034114604, 0.6624278277984426, -2.913158936102546, 3.4004926373403586, 3.4264439921210834, 2.016270345657518, -1.712051772134142, 1.424974167546761, 0.045802353750012736, -3.921150829749581, -1.8820742738887561, -3.0114512742789934, 2.2880633809590796]",0.72
