Run Index,Point,Objective Value
6,"[-3.635734885976693, 1.0415658495889115, -0.055248790823707594, -0.40124947166442515, 2.9158573772754526, -1.8908281797609074, 0.46741697301706386, 4.411783422720548, -2.828568962579692, 0.9744621940112974, -0.795183106587161, -1.7104115453872533, 3.4509349149686783, -1.3657422813533977, 3.1970500931952004, -1.8302329680841873, -0.7651379800100724, -2.14046271299938, 0.6724521712159945, -2.552245786384048, 2.148332550356171, 1.081465731612532, 3.2958103566736723, -1.3627257339595171, -0.3298527038787329, -1.4729590704827524, 0.23354381150049486, 2.6390668477669017, 1.9637345942397413, 1.630052098421817, -1.57633413482416, -0.46387757280404784, 1.920166202787886, 3.9230374501340677, 3.6235061503971395, 0.5004555034534018, -2.6983643368967636, -1.27194025405124, 4.379568507395107, -2.281949389189362, -3.5786399664952677, 1.1173523940034071, -2.0186542321440397, 0.09850697230333483, -2.132719171657909, 2.674484943753856, -0.48910433345729265, 0.6585373635408199, -4.086096446561881, -2.2749758253543435, -1.4020561791873587, -0.4800588945429665, 1.1759337232829294, 0.09889686637206085, 0.9015831258205756, 1.8380357932143445, 1.5476043379619737, -2.9701718259683054, 1.0754456933085523, -3.42686819100771, -1.3763865130447186, 2.6280503113467244, -3.207122811677245, 3.20078617660392]",0.72
6,"[-4.438311476897481, 1.5744248698760446, -1.9288618102719108, -0.03924683160516096, 2.994884357058835, -1.3155720782315712, 1.5765954174330283, 4.637126688736938, -3.111967333527356, -1.1842470546912778, 0.10754131973024705, 1.2555584077868234, 1.9715997963011187, -2.479177916444156, 2.6210424803742995, -2.211104921339289, 0.13586054064574604, -4.218205267417666, 2.2458077475551903, -1.2371313609142234, 3.1194454852708797, 1.983960276159161, 2.0945503332801914, -2.6567999462008336, -1.2273963328894228, -3.8037759116966203, 0.16650447337323612, 0.6386304337949553, 3.338280546089295, 0.6286353290647686, -1.2260818575360704, -0.1060437439210401, 1.5824876537208556, 3.7868524553042158, 3.330668570785221, 0.1869322647426933, -0.31450622174553144, -0.6627975292704207, 4.1659345596627, -3.3714697722138824, -3.269722923105965, 2.1657150543163692, -0.5055133783578325, -1.7796878342169524, -3.1651178779237004, 2.9218017537297967, -0.8506064776569057, 0.9538810237265144, -4.198077948938786, -2.2458434175539863, -1.314752474882296, -1.852825962259307, -0.8771810670966588, 1.8445346717139905, 1.4619252210036966, 0.3685442256212499, 3.538706013212434, -3.2007762949318965, -0.8250405837955163, -3.6535406372082297, -2.6706191098208443, 1.986139713929179, -1.9974812858376656, 1.5904204926910315]",0.72
6,"[-3.9590341042205717, -1.3438919795428603, 0.6197838279757415, -0.07096234455036488, 2.8385848946952, -2.270213685692693, -1.4716824946884928, 2.130758362456069, -3.042713032747153, 0.3441857775303857, -1.8401485684218857, -0.6215098393778451, 2.6396661948544367, -0.1910500804363835, 3.563250358509771, -3.6828886176446156, -0.7771089392077217, -2.2364722095272924, 1.4020136042527906, -2.7843666271712686, 1.9428899408999227, 1.5670358408683565, 3.2983197804027937, -2.107560725109584, -0.9326084205857276, -3.8779067787669597, 0.17484630391221354, 1.20710611660718, 2.7828196645483034, 2.739039586020083, -0.4374321142348321, -0.6597216263643495, 1.0753711281002178, 2.2370250645102088, 3.5321108517873245, -0.8133506911707782, -1.6849065485020374, -2.9373825150818043, 4.423369640392602, -0.10998735184053743, -0.5636280027276843, 2.9072096216619947, -0.5692091973228663, -1.6966396969324968, -1.3414931023677643, 1.3722899496771017, 0.046792943379985075, -0.3317149802987723, -3.135347322981197, -2.4279067368874436, -0.3328067513316877, -1.3795885578229594, 1.1384146711233432, 0.05639317442784553, 2.434383434402441, 2.8125395736662204, -0.3729908315427468, -2.7241698357714985, -0.826312195346069, -3.123508962795283, -1.1641466414979766, 2.4034231783164626, -3.9660407228873003, 0.3847621232987706]",0.72
6,"[-2.911461105041486, -0.3341330906046941, -0.01460549373865122, -1.5111030548193343, 3.9188581626749412, -1.9804890490023097, -1.1183948485293025, 3.1628715463424086, -3.422669759238681, 1.7096967400840763, -0.2358109660699531, -2.0176556724420864, 3.346743651336535, -0.8357805174226072, 3.292708873335235, -3.882261346637446, -0.8850008092376356, -1.215131232454889, 1.7200663884492453, -1.6490361662132764, 1.5490250047613707, -1.0313340187268127, 1.937257337592832, -1.4560871319198736, -1.8915927900841885, -3.6725093844339125, 0.15231257920285468, 1.9105924089440207, 3.598201334654456, 1.8866913423029705, -1.9657010814385263, 2.430858596921736, 2.6638337614518046, 3.5039999946451252, 3.2013789170680393, 1.4154092110418635, -0.8167448429413826, -1.9119667339583568, 3.0195187880692824, 1.143941904540008, -3.194719877290245, 1.6464259891593844, -2.763667004830715, 0.41714052391477296, -0.3186157809742971, 0.5012333987854369, -0.24595909590287213, -0.7660688806731251, -4.134681392177151, -2.2182711073054655, -1.075600036746041, 0.9830682018224595, 0.06977312960125132, 2.6561793133600604, 1.5728170621947477, 1.0016986287068113, 1.4463873510436893, -2.9371535719388095, 2.230043711862204, -2.808369984877432, 0.5263279457273777, 0.42538196822448526, -3.798304949257421, 2.267220914246897]",0.72
6,"[-4.251508535813114, 3.4505790965183305, 1.601544308322894, 0.9116969013730107, 3.4253825894920107, -2.375213948589405, -0.7083415003269373, 4.536498367288924, -2.529848081406036, 1.0850141968557392, 0.5763660478413921, -3.6015322569131714, 0.9563447780537064, -0.27151736967111395, 3.5339748029406333, -3.49926596689288, -1.0677095154855358, -2.325675332775601, 0.9682526968557751, -2.5057854368585817, 0.3422429435088268, -0.7048993658012013, 1.7271751190621303, -0.024114557303622997, -0.25662916311542394, -1.0954063495714548, 0.22303167284811126, 2.866441340377186, 1.3343127860779194, 2.4223798949984525, -2.0077499066338897, -0.4329345717352079, 1.5865092518632853, 2.872999362779654, 1.7431543420420528, 2.001183894020118, -3.0500655503368184, -3.38999207169349, 4.359794205045257, -3.4342971505651527, -3.840321920037722, 2.636222035970112, -2.1162774127805006, -0.26192377537682343, -0.23609106045563832, 0.5436890586052465, 1.0552841533175474, 0.4872254436935318, -3.479994042224744, -1.7733466339057715, -2.3480947866149364, -0.424274038359553, 2.2152353076322533, 0.2729810532160555, 0.3327518062409492, 0.8452412114062116, 1.7361305534284766, -3.397628104111484, 2.763024859148765, -3.7834333621569245, -3.552309938578656, 0.8472705412602741, -3.6420567190076802, 1.195652668928709]",0.72
6,"[-2.273892370503111, -0.7262243930230321, -0.2278963444661296, 0.6994551713685518, 2.626160691529202, -2.090077224176101, 2.7029690516822926, 4.610928635625515, -3.2871456058349215, -0.5056356499143821, -2.695004409786545, -2.851398813647304, 3.469806950170405, -0.15650094606600073, 1.5679647864898656, -0.5418473179145122, -0.9418728427441428, -2.1950605072865867, 0.9325189358342427, -2.1208413306713605, 1.7860723442071444, 0.7229762645603831, 3.091784704707283, -0.7789125936474097, 2.185622628653881, 0.9213176263044769, 0.3253331760513638, 3.942006807858253, -1.0734201379966413, 0.6624396833745302, -1.13857047386279, 0.9072821379911784, 2.6160739966251096, 3.8179680470231503, 1.503062769223253, -1.405345090468964, -2.5193010293596156, -1.897915522881456, 3.5136900073743402, -3.4977247832985086, -1.9942423758298848, 1.689538152087293, -2.4395284151504577, -0.5672354834130753, -1.6349132218712952, 1.9739288908705923, -1.3374565001578738, 0.3287794513902881, -1.707837629519526, -3.5588733984779255, -1.7659436341977537, -1.75994437764544, -0.21131503310849709, -0.2315976117836529, 0.2565146009891105, 1.5228901260424044, -0.5442709013772067, 0.39222689276133593, 1.1046514543991122, -3.169243696770261, -2.8894612088379796, 2.5843920152096627, -3.527848237733241, 1.9959774947736182]",0.72
6,"[-3.6607311045698125, 2.2459553729696484, 2.5966530371125653, -1.0748950968876558, 3.0401683724717974, -2.366261756787329, 2.238885727176875, 3.828864385702966, -3.860759276683488, 1.4972821423433276, -0.23389402482930471, -1.9735004266419698, 2.9341463331832225, -3.028475532511041, 2.2605841456346907, 0.8444577820019497, -0.8652560917072444, -2.5982918024594577, -0.3919168094811728, -2.9045684893263175, 2.17043473843403, 1.4274945576959306, 0.5407293280498875, 0.6354837053136879, 1.870878876278442, -2.1890349012577266, 0.15877031014456383, 2.069465609663418, 2.941795753200677, 1.1891963001731056, -1.314034180411612, 0.4784193278820425, 1.7897361497628637, 4.417996019419262, 2.654148250102861, 2.294128718202778, -3.3795846574735084, -2.5414876010710437, 4.296465501025899, -0.2659735668215961, -2.6517661838915894, 0.2508872604037746, -1.7321022404553745, 1.9211252239469565, 1.2934826438500049, -0.2836018581526276, -2.3003321249310984, 0.3928019517172795, -3.8426872908250145, -3.089956324166507, -2.0700599032935263, -0.24306304656291655, 2.184772140394384, -1.9040177592074778, 0.9776008467710925, 1.3435353358555926, 2.5623094670102313, -3.5082337463599584, -0.7869772420876765, -3.5584503674055306, -2.250636299274288, 2.7571568109793505, -3.6478146863300336, 3.1105138725290726]",0.72
6,"[-3.8477167185140497, 0.3542208038063426, 0.31726078023680604, 0.48471746548156547, 4.119169613711363, -2.3735912353063755, -0.0762757860098503, 3.859873966685308, -2.0801769292836694, 2.458116690412136, -0.6425516005943398, -3.5333864895407854, 1.406761734475416, -0.8091342844986174, 2.7323645695358647, -0.8697996897693875, -0.8773934141280242, -1.1872117696637825, -1.8249112280106026, -3.199488189117763, 2.6816198527856674, -0.29514838426008216, 2.8132982822927888, 1.2357372663113597, -0.9534130709988482, -1.3355092368642216, 0.39521835878379874, 1.5629500501991511, 0.6050069343610807, 0.47816242495314476, -1.0121267240510865, -1.2401229035981325, 1.3238699973222021, 4.056989184869936, 3.6229339324547487, -0.17181543176171843, -2.7362753381882667, -0.03851310319787471, 4.232337237794664, -2.927979118589828, -2.4082408456867133, 1.7789058525781392, -2.8820424829197764, 0.5031053266461332, -1.040160438045741, 1.7588692937130423, -0.3301829396622391, 0.8703849062932466, -3.713739697800129, -3.463969400490796, -2.110006716556834, 0.6751327022475992, 2.1650686117177034, 0.2981345660114001, -0.7865511497497518, 2.3584421629704027, -1.1506302157027886, -0.6219569458172787, 0.4841946636671336, -3.7192498178711086, -0.4687860123063011, 3.8539654684481444, -2.4396395904592443, 1.476314298983604]",0.72
6,"[-3.3361997548070255, 3.306573551022806, 0.21059213480941197, -1.8550378103942955, 3.5251855961730154, -1.9007902598513975, 1.3527385058972445, 3.9432538184121286, -3.092620383175383, 0.24612589230047044, -0.033082911430998174, -2.6898001295121037, 3.3844285516592127, -0.9362089365674259, 2.88840157515406, -1.0823304501679134, -0.9842219433396171, 0.20469685863756526, -0.15507207996466998, -2.5518221152127425, 1.5318674031451671, 1.17384505460446, 3.333304889918275, -1.0428708044418435, -1.629492064839503, -1.406333948681425, 0.3791594727298324, 2.6724786538831804, 3.3617321832189413, 2.3558745741618927, -1.3943859653259316, -0.36234456641465546, 2.1458929676089507, 4.418357912004258, 2.9501190143076297, 0.9967780481639954, -1.8395151998544939, 0.40588977498954626, 4.420645043669688, -2.094558614390095, -4.254733456569515, 2.962708486623022, -2.174238048345515, 0.20568129879715163, -2.5588433533262225, 2.340655600411273, -0.9562351657635848, 1.347954914244724, -2.4226156558712786, -3.2275731975707167, -1.4645404360057304, -0.36886264564133087, 0.5449957415852953, 1.1174468155114905, 0.14523643450449564, 2.2687274434627414, 0.4356986017735358, -1.315364494563449, 1.9915071419368577, -3.627464695340851, 0.10319574375304397, 3.011389319168426, -3.832672414270231, 2.9484643007796976]",0.72
6,"[-3.249196914432849, -0.6771374887781878, -0.5096350813425061, -1.6359303757027441, 3.874308880608848, -1.7130222776307482, 2.5827229448776357, 4.6352821276747, -1.0353413111354877, 1.5642212523066106, -0.013289421744742347, -1.1187236273633805, 3.1246726244376406, -1.7621888485001755, 2.8169713552718574, -1.3985533432614787, -0.6722053990105162, -0.6547784818804976, 0.5639077983852057, -2.598076192302357, 0.9498870254190884, 1.822174572667786, 3.3222703335993375, 0.1875430159025444, -0.3887214880820275, -1.4496704933855271, 0.14948073993252042, 3.9355514958498907, 2.6298891052961233, 2.4212421966946693, -2.415012908876726, -1.3109856976167993, 1.245863195128944, 4.229392252713989, 3.5963657188341966, -1.270688869253798, -2.556915610607738, -0.48294007107106984, 4.40638758510211, -1.0855119087029832, -3.671488054739115, 1.5111868298782072, -1.9523807611839932, 1.0359351256644942, -3.0250585843961915, 3.0500422438139925, -1.5023451862082822, 3.2936716557644337, -4.297278247822938, -2.162435168689858, -0.879500912292282, -0.30435033481849294, 0.14442648916837308, 0.23662833367215397, 1.099010465030327, -0.5768102060973452, 1.9172994205167853, -2.4694904679516103, 1.4024240725864372, -3.6642135697347484, -0.516555172008056, 2.718685051259676, -2.0716087150659197, 2.561239812548382]",0.72
