Unnamed: 0,GRAPH_IDX,NUM_NODES,LOG_NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,LOG_CHROMATIC_NUM,NORM_MIS,GRAPH_ASSORTATIVITY,SPECTRAL_GAP,LOG_LARGESTEIGVAL,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GIRTH,TRANSITIVITY,CALCULATED_RATIO,percent_cut,percent_positive_lower_triangular,percent_close1_lower_triangular,percent_close3_lower_triangular,expected_costGW_over_sdp_cost,std_costGW_over_sdp_cost
0,graph_0,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9980433237279396,0.030241767333209
1,graph_1,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149992,(0.6380976062804578+0j),(0.150299667944311+0j),(-0.11394222656490906+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846752936,0.3025,0.95,0.8725,0.999343328057311,0.0124243884415864
2,graph_2,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9986433257260928,0.0195896134718839
3,graph_3,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9991833275244306,0.0175877701907647
4,graph_4,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9988233263255388,0.0222668116787566
5,graph_5,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.997763322795468,0.0267093083305963
6,graph_6,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9987233259925132,0.0216324921557441
7,graph_7,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9985633254596722,0.0233480198480758
8,graph_8,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9991833275244306,0.0179256726570974
9,graph_9,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9997233293227684,0.0055065235818682
10,graph_10,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9990633271248,0.0157072608452239
11,graph_11,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9988633264587488,0.0235945779346658
12,graph_12,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149992,(0.6380976062804578+0j),(0.150299667944311+0j),(-0.11394222656490906+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846752936,0.3025,0.95,0.8725,0.9996633291229926,0.0076082051457817
13,graph_13,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9995233286567172,0.013407863265983
14,graph_14,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9974033215965762,0.0318315370145218
15,graph_15,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9995433287233224,0.0110720014677872
16,graph_16,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9986433257260928,0.0249269841440504
17,graph_17,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9997833295225836,0.004141462813862
18,graph_18,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9991833275244306,0.0164599333084652
19,graph_19,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9992233276576408,0.0174755152732999
20,graph_20,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9995033285901124,0.0089972517564654
21,graph_21,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9991433273912204,0.0158638606962341
22,graph_22,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9988233263255388,0.0183032737870946
23,graph_23,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804579+0j),(0.15029966794431157+0j),(-0.11394222656490807+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.943393084675309,0.3025,0.95,0.88,0.9993833281905048,0.0119673118907547
24,graph_24,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9987433260591182,0.0216798415706325
25,graph_25,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9985833255262776,0.0238660301207354
26,graph_26,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9996033289231376,0.0126428266071226
27,graph_27,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.999263327790851,0.0129249182843108
28,graph_28,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9977033225956528,0.0269502288970506
29,graph_29,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.998703325925908,0.0201671194993416
30,graph_30,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9981833241941752,0.0243205990801196
31,graph_31,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,0.2757352941176471,1.3888888888888888,0.9433930846753308,0.3125,0.95,0.8675,0.9981033239277548,0.0302654274870049
